,reg_shortname,reg_name,location,epw_filename,wmo_code,lat,lon,alt
22,ER,Emilia Romagna,Cervia.AB,ITA_ER_Cervia.AB.161480_TMYx.2007-2021.epw,161480,44.224,12.307,10.0
23,ER,Emilia Romagna,Cimone.Mtn,ITA_ER_Cimone.Mtn.161340_TMYx.2007-2021.epw,161340,44.1936,10.7,2173.0
24,ER,Emilia Romagna,Cisa.Pass,ITA_ER_Cisa.Pass.161240_TMYx.2007-2021.epw,161240,44.472,9.9286,1040.0
25,ER,Emilia Romagna,Ferrara.AP,ITA_ER_Ferrara.AP.161380_TMYx.2007-2021.epw,161380,44.8156,11.6125,10.0
26,ER,Emilia Romagna,Forli.AP,ITA_ER_Forli.AP.161470_TMYx.2007-2021.epw,161470,44.1956,12.0697,32.0
27,ER,Emilia Romagna,Modena,ITA_ER_Modena.161280_TMYx.epw,161280,44.65,10.95,33.0
28,ER,Emilia Romagna,Parma-Verdi.AP,ITA_ER_Parma-Verdi.AP.161300_TMYx.2007-2021.epw,161300,44.8172,10.2969,52.0
29,ER,Emilia Romagna,Piacenza-San.Damiano.AB,ITA_ER_Piacenza-San.Damiano.AB.160840_TMYx.2007-2021.epw,160840,44.9092,9.7278,138.0
30,ER,Emilia Romagna,Punta.Marina,ITA_ER_Punta.Marina.161460_TMYx.2007-2021.epw,161460,44.4414,12.2961,6.0
31,ER,Emilia Romagna,Rimini-Fellini.AP,ITA_ER_Rimini-Fellini.AP.161490_TMYx.2007-2021.epw,161490,44.0244,12.6128,13.0
32,FV,Friuli Venezia Giulia,Aviano.AFB,ITA_FV_Aviano.AFB.160360_TMYx.2007-2021.epw,160370,46.0303,12.5992,115.0
33,FV,Friuli Venezia Giulia,Gorizia,ITA_FV_Gorizia.160455_TMYx.epw,160455,45.95,13.633,63.0
34,FV,Friuli Venezia Giulia,Tarvisio,ITA_FV_Tarvisio.160400_TMYx.2007-2021.epw,160400,46.5056,13.5861,778.0
35,FV,Friuli Venezia Giulia,Trieste-Friuli.Venezia.Guilia.AP,ITA_FV_Trieste-Friuli.Venezia.Guilia.AP.161080_TMYx.2007-2021.epw,161080,45.8275,13.4722,11.0
36,FV,Friuli Venezia Giulia,Trieste,ITA_FV_Trieste.161100_TMYx.2007-2021.epw,161100,45.6769,13.7547,3.5
37,FV,Friuli Venezia Giulia,Udine-Rivolto.AB,ITA_FV_Udine-Rivolto.AB.160450_TMYx.2007-2021.epw,160450,45.98109,13.04907,55.0
38,FV,Friuli Venezia Giulia,Udine.Campoformido.AF,ITA_FV_Udine.Campoformido.AF.160440_TMYx.epw,160440,46.033,13.183,94.0
39,LZ,Lazio,Cape.Circeo,ITA_LZ_Cape.Circeo.162490_TMYx.2007-2021.epw,162490,41.2508,13.1186,4.0
40,LZ,Lazio,Civitavecchia,ITA_LZ_Civitavecchia.162140_TMYx.2007-2021.epw,162140,42.0328,11.8331,4.4
41,LZ,Lazio,Guidonia.AB,ITA_LZ_Guidonia.AB.162340_TMYx.2007-2021.epw,162340,41.9967,12.7344,88.9
42,LZ,Lazio,Isola.di.Ponza,ITA_LZ_Isola.di.Ponza.162800_TMYx.2007-2021.epw,162800,40.9119,12.9569,185.0
43,LZ,Lazio,Latina.AP,ITA_LZ_Latina.AP.162430_TMYx.2007-2021.epw,162430,41.5458,12.9097,26.3
44,LZ,Lazio,Orte,ITA_LZ_Orte.162170_TMYx.epw,162170,42.4714,12.3422,76.0
45,LZ,Lazio,Pratica.di.Mare.AB,ITA_LZ_Pratica.di.Mare.AB.162450_TMYx.2007-2021.epw,162450,41.6556,12.4481,21.5
46,LZ,Lazio,Rieti.AF,ITA_LZ_Rieti.AF.162210_TMYx.2007-2021.epw,162210,42.4267,12.85,389.0
47,LZ,Lazio,Roma-Ciampino.AP,ITA_LZ_Roma-Ciampino.AP.162390_TMYx.2007-2021.epw,162390,41.8081,12.5847,105.0
48,LZ,Lazio,Roma.Urbe.Rgnl.AP,ITA_LZ_Roma.Urbe.Rgnl.AP.162350_TMYx.2007-2021.epw,162350,41.952,12.5008,24.0
49,LZ,Lazio,Rome-Fiumicino-da.Vinci.AP,ITA_LZ_Rome-Fiumicino-da.Vinci.AP.162420_TMYx.2007-2021.epw,162420,41.8003,12.2389,3.0
50,LZ,Lazio,Rome,ITA_LZ_Rome.162400_TMYx.epw,162400,41.9,12.483,95.0
51,LZ,Lazio,Rome.Central,ITA_LZ_Rome.Central.162380_TMYx.epw,162380,41.868,12.5578,54.0
52,LZ,Lazio,Terminillo.Mtn,ITA_LZ_Terminillo.Mtn.162190_TMYx.2007-2021.epw,162190,42.4667,12.9833,1875.0
53,LZ,Lazio,Vigna.di.Valle,ITA_LZ_Vigna.di.Valle.162240_TMYx.2007-2021.epw,162240,42.0803,12.2114,266.0
54,LZ,Lazio,Viterbo.AP,ITA_LZ_Viterbo.AP.162160_TMYx.2007-2021.epw,162160,42.4383,12.055,308.0
55,LM,Lombardia,Bisbino.Mtn,ITA_LM_Bisbino.Mtn.160730_TMYx.epw,160730,45.8733,9.0653,1323.0
56,LM,Lombardia,Brescia-Montichiari.AP,ITA_LM_Brescia-Montichiari.AP.162593_TMYx.2007-2021.epw,162593,45.429,10.331,108.5
57,LM,Lombardia,Desenzano.del.Garda,ITA_LM_Desenzano.del.Garda.160890_TMYx.2007-2021.epw,160890,45.4645,10.5553,66.0
58,LM,Lombardia,Gallarate,ITA_LM_Gallarate.160670_TMYx.epw,160670,45.6478,8.8136,239.0
59,LM,Lombardia,Ghedi.AB,ITA_LM_Ghedi.AB.160880_TMYx.2007-2021.epw,160880,45.432,10.268,97.0
60,LM,Lombardia,Grigna.Settentrion,ITA_LM_Grigna.Settentrion.160700_TMYx.epw,160700,45.9534,9.3877,2365.0
61,LM,Lombardia,Milano-Bergamo.Intl.AP,ITA_LM_Milano-Bergamo.Intl.AP.160760_TMYx.2007-2021.epw,160760,45.6689,9.7003,237.0
62,LM,Lombardia,Milano-Linate.AP,ITA_LM_Milano-Linate.AP.160800_TMYx.2007-2021.epw,160800,45.4494,9.2783,103.0
63,LM,Lombardia,Milano-Malpensa.AP,ITA_LM_Milano-Malpensa.AP.160660_TMYx.2007-2021.epw,160660,45.63,8.7231,212.0
64,MH,Marche,Ancona,ITA_MH_Ancona.161900_TMYx.2007-2021.epw,161900,43.6114,13.5253,143.0
65,MH,Marche,Frontone,ITA_MH_Frontone.161790_TMYx.2007-2021.epw,161790,43.5169,12.7278,574.0
66,MH,Marche,Loreto,ITA_MH_Loreto.161920_TMYx.2007-2021.epw,161920,43.43,13.6036,198.0
67,MH,Marche,Marche.AP,ITA_MH_Marche.AP.161910_TMYx.2007-2021.epw,161910,43.6167,13.3603,15.0
68,ML,Molise,Campobasso,ITA_ML_Campobasso.162520_TMYx.2007-2021.epw,162520,41.5636,14.655,807.0
69,ML,Molise,Termoli,ITA_ML_Termoli.162320_TMYx.2007-2021.epw,162320,42.0042,14.9964,44.0
70,PM,Piemonte,Casale.Monferrato,ITA_PM_Casale.Monferrato.160680_TMYx.2007-2021.epw,160680,45.1128,8.4536,121.0
71,PM,Piemonte,Cuneo-Levaldigi.AP,ITA_PM_Cuneo-Levaldigi.AP.161170_TMYx.2007-2021.epw,161170,44.5531,7.625,387.0
72,PM,Piemonte,Fraiteve.Mtn,ITA_PM_Fraiteve.Mtn.161120_TMYx.epw,161120,44.983,6.85,2680.0
73,PM,Piemonte,Govone,ITA_PM_Govone.161160_TMYx.epw,161160,44.8,8.1,315.0
74,PM,Piemonte,Limone.Colle.di.Tenda,ITA_PM_Limone.Colle.di.Tenda.161150_TMYx.2007-2021.epw,161150,44.1789,7.5683,1234.0
75,PM,Piemonte,Mondovi,ITA_PM_Mondovi.161140_TMYx.2007-2021.epw,161140,44.3903,7.8292,560.0
76,PM,Piemonte,Novi.Ligure,ITA_PM_Novi.Ligure.161180_TMYx.epw,161180,44.767,8.783,187.0
77,PM,Piemonte,Torino-Bric.della.Croce,ITA_PM_Torino-Bric.della.Croce.160610_TMYx.2007-2021.epw,160610,45.0333,7.7317,710.0
78,PM,Piemonte,Torino-Caselle.AP,ITA_PM_Torino-Caselle.AP.160590_TMYx.2007-2021.epw,160590,45.2025,7.6494,287.0
79,PM,Piemonte,Torino.AF,ITA_PM_Torino.AF.160595_TMYx.2007-2021.epw,160595,45.086,7.603,288.3
80,PM,Piemonte,Torino.Venaria,ITA_PM_Torino.Venaria.160600_TMYx.2007-2021.epw,160600,45.1306,7.6175,278.0
81,PU,Puglia,Amendola.AP,ITA_PU_Amendola.AP.162610_TMYx.2007-2021.epw,162610,41.5381,15.7139,60.0
82,PU,Puglia,Bari-Wojtyla.Intl.AP,ITA_PU_Bari-Wojtyla.Intl.AP.162700_TMYx.2007-2021.epw,162700,41.1381,16.765,49.0
83,PU,Puglia,Bari,ITA_PU_Bari.162710_TMYx.2007-2021.epw,162710,41.1205,16.8836,12.0
84,PU,Puglia,Foggia.AP,ITA_PU_Foggia.AP.162600_TMYx.2007-2021.epw,162600,41.433,15.533,81.0
85,PU,Puglia,Ginosa.Marina,ITA_PU_Ginosa.Marina.163250_TMYx.2007-2021.epw,163250,40.4244,16.8867,11.5
86,PU,Puglia,Lecce-Galatina.AB,ITA_PU_Lecce-Galatina.AB.163320_TMYx.2007-2021.epw,163320,40.2383,18.1389,53.0
87,PU,Puglia,Martina.Franca,ITA_PU_Martina.Franca.163180_TMYx.2007-2021.epw,163180,40.6428,17.2061,415.0
88,PU,Puglia,Matera,ITA_PU_Matera.163140_TMYx.2007-2021.epw,163140,40.6753,16.6561,498.0
89,PU,Puglia,Otranto,ITA_PU_Otranto.163340_TMYx.2007-2021.epw,163340,40.1108,18.5122,81.0
90,PU,Puglia,Ramirez.AB,ITA_PU_Ramirez.AB.163120_TMYx.2007-2021.epw,163120,40.7661,16.9353,351.9
91,PU,Puglia,S.Angelo.Mtn,ITA_PU_S.Angelo.Mtn.162580_TMYx.2007-2021.epw,162580,41.7083,15.9478,848.0
92,PU,Puglia,Salento-Brindisi.AP,ITA_PU_Salento-Brindisi.AP.163200_TMYx.2007-2021.epw,163200,40.6578,17.9517,10.1
93,PU,Puglia,Santa.Maria.di.Leuc,ITA_PU_Santa.Maria.di.Leuc.163600_TMYx.2007-2021.epw,163600,39.8114,18.3422,112.0
94,PU,Puglia,Taranto-Grottaglie.AP,ITA_PU_Taranto-Grottaglie.AP.163240_TMYx.2007-2021.epw,163240,40.5172,17.3997,69.0
95,PU,Puglia,Vieste,ITA_PU_Vieste.162660_TMYx.2007-2021.epw,162660,41.8881,16.1647,5.0
96,SD,Sardegna,Alghero-Fertilia.AB,ITA_SD_Alghero-Fertilia.AB.165200_TMYx.2007-2021.epw,165200,40.6311,8.2886,40.0
97,SD,Sardegna,Cagliari.AP-Elmas.AB,ITA_SD_Cagliari.AP-Elmas.AB.165600_TMYx.2007-2021.epw,165600,39.2436,9.06,2.2
98,SD,Sardegna,Cape.Bellavista,ITA_SD_Cape.Bellavista.165500_TMYx.2007-2021.epw,165500,39.9308,9.7131,150.0
99,SD,Sardegna,Cape.Caccia,ITA_SD_Cape.Caccia.165220_TMYx.2007-2021.epw,165220,40.5611,8.1631,204.0
100,SD,Sardegna,Cape.Carbonara,ITA_SD_Cape.Carbonara.165640_TMYx.2007-2021.epw,165640,39.1039,9.5136,118.0
101,SD,Sardegna,Cape.Frasca,ITA_SD_Cape.Frasca.165390_TMYx.2007-2021.epw,165390,39.7411,8.4594,95.0
102,SD,Sardegna,Cape.S.Lorenzo,ITA_SD_Cape.S.Lorenzo.165420_TMYx.2007-2021.epw,165420,39.4981,9.6294,5.0
103,SD,Sardegna,Carloforte,ITA_SD_Carloforte.165490_TMYx.epw,165490,39.137,8.3114,13.0
104,SD,Sardegna,Decimomannu.AB,ITA_SD_Decimomannu.AB.165460_TMYx.2007-2021.epw,165460,39.3461,8.9675,24.0
105,SD,Sardegna,Fonni,ITA_SD_Fonni.165380_TMYx.epw,165380,40.117,9.25,1029.0
106,SD,Sardegna,Guardiavecchia,ITA_SD_Guardiavecchia.165060_TMYx.epw,165060,41.217,9.4,170.0
107,SD,Sardegna,Limbara.Mtn,ITA_SD_Limbara.Mtn.165320_TMYx.2007-2021.epw,165320,40.85,9.167,1363.0
108,SD,Sardegna,Macomer.Sa-Crabarza,ITA_SD_Macomer.Sa-Crabarza.165240_TMYx.epw,165240,40.2556,8.7358,587.0
109,SD,Sardegna,Olbia-Costa.Smeralda.AP,ITA_SD_Olbia-Costa.Smeralda.AP.165310_TMYx.2007-2021.epw,165310,40.8986,9.5178,13.0
110,SD,Sardegna,Olsia,ITA_SD_Olsia.165300_TMYx.epw,165300,40.933,9.5,2.1
111,SD,Sardegna,Perdasdefogu,ITA_SD_Perdasdefogu.165410_TMYx.2007-2021.epw,165410,39.6747,9.4431,645.0
112,SC,Sicilia,Catania.Fontanarossa.AP,ITA_SC_Catania.Fontanarossa.AP.164600_TMYx.2007-2021.epw,164600,37.4667,15.0639,17.0
113,SC,Sicilia,Comiso,ITA_SC_Comiso.164750_TMYx.2007-2021.epw,164750,36.983,14.617,210.0
114,SC,Sicilia,Cozzo.Spadaro,ITA_SC_Cozzo.Spadaro.164800_TMYx.2007-2021.epw,164800,36.6861,15.1314,51.0
115,SC,Sicilia,Enna,ITA_SC_Enna.164500_TMYx.2007-2021.epw,164500,37.5681,14.2797,1003.0
116,SC,Sicilia,Gela,ITA_SC_Gela.164530_TMYx.2007-2021.epw,164530,37.0764,14.225,69.0
117,SC,Sicilia,Gibilmanna,ITA_SC_Gibilmanna.164420_TMYx.2007-2021.epw,164420,37.9908,14.0269,999.0
118,SC,Sicilia,Isola.Salina,ITA_SC_Isola.Salina.164150_TMYx.2007-2021.epw,164150,38.58,14.8717,47.0
119,SC,Sicilia,Isola.Stromboli,ITA_SC_Isola.Stromboli.164160_TMYx.2007-2021.epw,164160,38.8025,15.2342,77.0
120,SC,Sicilia,Lampedusa.AP,ITA_SC_Lampedusa.AP.164900_TMYx.2007-2021.epw,164900,35.4981,12.6183,20.0
121,SC,Sicilia,Messina,ITA_SC_Messina.164200_TMYx.2007-2021.epw,164200,38.1997,15.5489,54.1
122,SC,Sicilia,Mezzo.Gregorio,ITA_SC_Mezzo.Gregorio.164650_TMYx.2007-2021.epw,164650,36.9658,14.9578,640.0
123,SC,Sicilia,NAS.Signoella,ITA_SC_NAS.Signoella.164590_TMYx.2007-2021.epw,164590,37.4056,14.9186,29.3
124,SC,Sicilia,Palermo-Boccadifalco.AP,ITA_SC_Palermo-Boccadifalco.AP.164090_TMYx.2007-2021.epw,164090,38.1119,13.3117,122.0
125,SC,Sicilia,Palermo-Falcone.Borsellino.AP,ITA_SC_Palermo-Falcone.Borsellino.AP.164050_TMYx.2007-2021.epw,164050,38.1819,13.0994,34.0
126,SC,Sicilia,Pantelleria.AP,ITA_SC_Pantelleria.AP.164700_TMYx.2007-2021.epw,164700,36.8139,11.9711,198.0
127,SC,Sicilia,Prizzi,ITA_SC_Prizzi.164340_TMYx.2007-2021.epw,164340,37.7228,13.4281,1035.0
128,SC,Sicilia,Sciacca,ITA_SC_Sciacca.164360_TMYx.2007-2021.epw,164360,37.5136,13.1267,126.0
129,SC,Sicilia,Siracusa,ITA_SC_Siracusa.164640_TMYx.2007-2021.epw,164640,37.0661,15.2794,3.0
130,SC,Sicilia,Trapani.Birgi.AP,ITA_SC_Trapani.Birgi.AP.164290_TMYx.2007-2021.epw,164290,37.9142,12.4914,9.3
131,SC,Sicilia,Ustica.Island,ITA_SC_Ustica.Island.164000_TMYx.2007-2021.epw,164000,38.7072,13.1772,243.0
132,TC,Toscana,Arezzo-Molin.Bianco.AP,ITA_TC_Arezzo-Molin.Bianco.AP.161720_TMYx.2007-2021.epw,161720,43.4597,11.8456,249.0
133,TC,Toscana,Argentario.Mtn,ITA_TC_Argentario.Mtn.161680_TMYx.2007-2021.epw,161680,42.387,11.1697,631.3
134,TC,Toscana,Calamita.Mtn,ITA_TC_Calamita.Mtn.161970_TMYx.2007-2021.epw,161970,42.7311,10.3956,397.0
135,TC,Toscana,Firenze-Peretola.AP,ITA_TC_Firenze-Peretola.AP.161700_TMYx.2007-2021.epw,161700,43.8086,11.2028,38.0
136,TC,Toscana,Firenze,ITA_TC_Firenze.161710_TMYx.2007-2021.epw,161710,43.7856,11.2158,19.0
137,TC,Toscana,Grosseto.AP,ITA_TC_Grosseto.AP.162060_TMYx.2007-2021.epw,162060,42.7481,11.0589,7.0
138,TC,Toscana,Isola.D-Elba,ITA_TC_Isola.D-Elba.161980_TMYx.epw,161980,42.7311,10.3956,398.0
139,TC,Toscana,Isola.Gorgona,ITA_TC_Isola.Gorgona.161540_TMYx.epw,161540,43.4281,9.8942,259.0
140,TC,Toscana,Pianosa.Island,ITA_TC_Pianosa.Island.162000_TMYx.epw,162000,42.5854,10.0969,15.0
141,TC,Toscana,Pisa-Galileo.Galilei.AP,ITA_TC_Pisa-Galileo.Galilei.AP.161580_TMYx.2007-2021.epw,161580,43.6825,10.3956,6.1
142,TC,Toscana,Porretta.Pass,ITA_TC_Porretta.Pass.161350_TMYx.epw,161350,44.0283,11.0055,1315.0
143,TC,Toscana,Radicofani,ITA_TC_Radicofani.162040_TMYx.2007-2021.epw,162040,42.8961,11.7678,828.0
144,TC,Toscana,Radicofani,ITA_TC_Radicofani.162040_TMYx.epw,162040,42.8961,11.7678,828.0
145,TC,Toscana,Rifredo.Mugello,ITA_TC_Rifredo.Mugello.161420_TMYx.epw,161420,44.0668,11.389,705.0
146,TC,Toscana,Volterra,ITA_TC_Volterra.161640_TMYx.epw,161640,43.4,10.867,575.0
147,TT,Trentino Alto Adige,Bolzano.AP,ITA_TT_Bolzano.AP.160200_TMYx.2007-2021.epw,160200,46.4603,11.3264,241.0
148,TT,Trentino Alto Adige,Brennero.Pass,ITA_TT_Brennero.Pass.111290_TMYx.2007-2021.epw,111290,47.0018,11.5061,1394.0
149,TT,Trentino Alto Adige,Colle.Del.Gigante,ITA_TT_Colle.Del.Gigante.160530_TMYx.epw,160530,46.917,12.1,2755.0
150,TT,Trentino Alto Adige,Dobbiaco,ITA_TT_Dobbiaco.160330_TMYx.2007-2021.epw,160330,46.733,12.217,1226.0
151,TT,Trentino Alto Adige,Paganella.Mtn,ITA_TT_Paganella.Mtn.160220_TMYx.2007-2021.epw,160220,46.1417,11.0363,2129.0
152,TT,Trentino Alto Adige,Reschen.Pass,ITA_TT_Reschen.Pass.160083_TMYx.2007-2021.epw,160083,46.833,10.5,1800.0
153,TT,Trentino Alto Adige,Rolle.Pass,ITA_TT_Rolle.Pass.160210_TMYx.2007-2021.epw,160210,46.2978,11.7867,2006.0
154,TT,Trentino Alto Adige,San.Valentino.Alla.Muta,ITA_TT_San.Valentino.Alla.Muta.160080_TMYx.2007-2021.epw,160080,46.7619,10.5344,1461.0
155,TT,Trentino Alto Adige,Trento.AP,ITA_TT_Trento.AP.160230_TMYx.2007-2021.epw,160230,46.0203,11.1267,190.0
156,TT,Trentino Alto Adige,Vipiteno,ITA_TT_Vipiteno.160140_TMYx.2007-2021.epw,160140,46.8839,11.44,922.0
157,UM,Umbria,Umbria-Perugia-d-Assisi.AP,ITA_UM_Umbria-Perugia-d-Assisi.AP.161810_TMYx.2007-2021.epw,161810,43.0972,12.5103,204.0
158,VD,Valle dAosta,Aosta.AP,ITA_VD_Aosta.AP.160540_TMYx.2007-2021.epw,160540,45.7347,7.3506,552.0
159,VD,Valle dAosta,Novara-Cameri.AB,ITA_VD_Novara-Cameri.AB.160640_TMYx.2007-2021.epw,160640,45.53,8.6667,175.0
160,VD,Valle dAosta,Pian.Rosa.Mtn,ITA_VD_Pian.Rosa.Mtn.160520_TMYx.2007-2021.epw,160520,45.935,7.7061,3488.0
161,VN,Veneto,Concordia.Sagittaria,ITA_VN_Concordia.Sagittaria.161070_TMYx.2007-2021.epw,161070,45.7611,12.8569,3.0
162,VN,Veneto,Grappa.Mtn,ITA_VN_Grappa.Mtn.160920_TMYx.epw,160920,45.867,11.8,1775.0
163,VN,Veneto,Istrana.AB,ITA_VN_Istrana.AB.160980_TMYx.2007-2021.epw,160980,45.685,12.083,42.0
164,VN,Veneto,Padova.AP,ITA_VN_Padova.AP.160950_TMYx.2007-2021.epw,160950,45.4,11.85,14.0
165,VN,Veneto,Treviso.AP,ITA_VN_Treviso.AP.160990_TMYx.2007-2021.epw,160990,45.65,12.1833,23.0
166,VN,Veneto,Venezia-Lido.AF,ITA_VN_Venezia-Lido.AF.161010_TMYx.2007-2021.epw,161010,45.4275,12.3842,6.0
167,VN,Veneto,Venezia-Polo.AP,ITA_VN_Venezia-Polo.AP.161050_TMYx.2007-2021.epw,161050,45.5053,12.3519,6.0
168,VN,Veneto,Verona.Catullo.AP,ITA_VN_Verona.Catullo.AP.160900_TMYx.2007-2021.epw,160900,45.396,10.889,72.8
169,VN,Veneto,Vicenza.AB,ITA_VN_Vicenza.AB.160940_TMYx.epw,160940,45.573,11.53,39.0
