id,name,wmo,lat,lon
16415,Isola Di Salina,16415,38.5833,14.8667
16416,Isola Stromboli - Piscità,16416,38.8025,15.2342
16420,Messina,16420,38.2,15.55
16422,Reggio Calabria,16422,38.0667,15.65
16429,Trapani - Birgi,16429,37.9167,12.5
16434,Prizzi,16434,37.7167,13.4333
16436,Sciacca - San Carlo,16436,37.5136,13.1267
16442,Gibilmanna - Santuario di Gibilmanna,16442,37.9908,14.0269
16450,Enna,16450,37.5667,14.2833
16453,Gela,16453,37.0833,14.2167
16459,Catania - Sigonella,16459,37.4,14.9167
16460,Catania - Fontanarossa,16460,37.4667,15.05
16464,Siracusa - Ciane,16464,37.0661,15.2794
16465,Mezzo Gregorio - Testa dell’Acqua,16465,36.9658,14.9578
16469,Cape Spartivento - Spropolo,16469,37.9258,16.0606
16470,Pantelleria,16470,36.8167,11.9667
16480,Cozzo Spadaro,16480,36.6833,15.1333
16490,Lampedusa,16490,35.5,12.6
16506,Guardiavecchia,16506,41.2167,9.4
16520,Alghero,16520,40.6333,8.2833
16522,Capo Caccia,16522,40.5667,8.1667
16531,Olbia - Costa Smeralda,16531,40.9,9.5167
16538,Fonni,16538,40.1167,9.25
16539,Capo Frasca,16539,39.75,8.4667
16541,Perdasdefogu,16541,39.6667,9.4333
16542,Capo S. Lorenzo,16542,39.5,9.6333
16546,Decimomannu,16546,39.35,8.9667
16549,Isola Di Carloforte,16549,39.1333,8.3167
16550,Capo Bellavista,16550,39.9333,9.7167
16560,Cagliari - Elmas,16560,39.25,9.0667
16564,Capo Carbonara,16564,39.1,9.5167
KQHK0,Aviano - La Roiata,,46.0333,12.6
KQLQ0,Naples - Poggioreale,,40.85,14.28
KQNS0,Sigonella - Cuccumella,,37.4,14.9333
LIAP0,L'Aquila - Preturo - San Vittorino,,42.3799,13.3092
LICB0,Comiso,,36.9333,14.6
LIER0,Fenosu - Oristano (Sardinia) - Palmas Arborea,,39.8964,8.6417
LIMA0,Torino - Collegno,,45.0864,7.6034
LIMW0,Aosta - Pollein,,45.7394,7.362
LIPG0,Gorizia (it-Afb) - Miren,,45.9,13.6
LIQD0,Passo Dellaporretta - Porretta Pass - San Momme,,44.0333,10.9333
LIQS0,Siena,,43.3167,11.35
LIRI0,Salerno - Bellizzi,,40.6167,14.9167
LIRX0,Monte Calamita - Pareti,,42.73,10.38
LIVE0,Passo Resia - Resia Pass,,46.8333,10.5
